"評論者名稱","評論時間","評論星級","評論內容","評論圖片","評論者個人資料URL"
"小妖","1 天前","2","上次在仁和路看到一堆人在排隊想說應該是不難吃今天睡飽就來創始店朝聖 ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn2t02iQf65QFBdccIyiPnVfkta5_yC0JMUaTXd-xgpdXvOYcRJQdfSj9wf-KH7fNQBu3dbiP-w_115kV7DsEMU0Skx2AzpHkzVPixA2u4Nmjlj__2Od7y-BiakcxwFDmrMGsgHkDxetIW2i=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2L3KcTj5fjk4AMMNHhugw4NKFlelGEGd1WgGhELnuBm3gmgc4C52WLYrBn4e-QsQZ2M6bgtGtPyjUYvTnpJdFgfqBQjPlVtbV9y55O2_VbX5pZSDuMX_Dv7Y4W24OQaNTxn9rSGTE9Abv7=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2nS73zZ34vhqTQ6Nr_OSy84LM2msD-a432kEAp2y_uVvl0shbirhwuAeiWv_D-aT9jHaOAUfB8_P8CUfurgg-B8fG-zxUzqzjbeGb2Lgi5-CYwAFkPzvXJ22MuGraMLCPnJ5dWQvEsFkC6=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3eKopk17BP1IOhX78008RqwUvxzkNrlZsQ_RKtzuuDDZJ_vMTR-A6WmMhvP1-R0s22EnqVOjUogQspPY5zmgvQzoFNip7RjAQj1SIcnMu7ERR6xEqm_5kK1PkEjQrYGlq2uegiVEwZpFo=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn32IzexkRhNxzCvID-QUEkVH0tWB5Ok6M8I0dmSF6O8O7_-8IQbCO0JUfBx2INx219jqlSEBtUm87A_JKxBrtCZz6-pH1KA7m_nIit1tiOcFtVnvz-_Gwxd768dVS-Auc4p1bOfX_LfKT7V=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn02rFZT5-3YYdrypRJttPifS_boRhlGY7hDOiq29qTQ54Wp8GcoBllkCyzIhvM2dLSJjpizxAczG6KudAJDsXdriiLO8TQZQp-kK63MDj16KPLG-RcXTMChoJjdxSGWVN6alLxAtT7pldQx=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2fuDyf1RkLMa7ktnVxS51-hCSFsR0XCoQ6d8C65J8X8f0qVIFwyCu85F2oMgG__1cC8oe5ZWPEkyHhfZsUaULBh3l8vtWm5ZNcGsefYB_UKCZh4AgdZA-onh-dQvH0jF0BzWbWqoKBTPvp=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3oWuhQlKbuDwDOg82swnZaSu1VM41l5jy_5x6q4sns6su12351QIFoefAtXPN3bUNufwSQC3YYERufdWyfuX7pAEam5HATAhbP5YplU7O2u2Hkr5B0AqRDGJbPONGOdlmhh6B_f3q4z_o=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn1-doy1q6xKQPe5Sz71NSHdneG-rxlQraILOfaroyvRXNz0tfsPRbW0rFINWBOyLMB9iHED4sWcD_0ECmsWOG0Fc2t_gk2qp1aVjaS0zxvy29rV8uXm4ihxeN258kUkHL3A8l1FpRwwsF0f=s196-p-k-rw","https://www.google.com/maps/contrib/108004429824152196143/reviews?hl=zh-Hant-TW"
"Mars","4 天前","5","便宜好吃炸翅刀很讚辣口味的麵也有一定辣度 ⋯⋯","","https://www.google.com/maps/contrib/100707582822668761287/reviews?hl=zh-Hant-TW"
"呂紫綸","6 天前","1","標準網紅店，被網紅影片吹上天。夾菜動線亂、狹窄。夾菜的夾子僅用水過幾次就重新拿出來，更不要說盛滷味的塑膠盆了，水洗都沒有，用一個不知道一天洗幾次的布擦一擦就拿出來了。然後除了結帳的店員，所有內場都沒有戴口罩😍 ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn0IYZLBUVKJQYghiphNCwNolgRDSCkNI0VOhLC5VJBeEoJs9nGjHPgDG1o3ZAIOCH72nEYXkS6rUpC-eOkgO0XGicNebaFeLuRGm6wKeFkxkRzkjS47a0oWil3mk3R2PN0V8BkfpqdBiGkN=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3UfPcuIwo4QET0bDRIP8FTI13gR97fsA95heiMJE0zNE6El0TnlNdhAgiM4fDEt3l20O_Z5k22UmtqVRb83DkI6s0MegcXhlLTHEch6Fe99JpmLQ8PzWujbejwxvjOtSPe6bopHzAG4nw=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn0hMI833GmPDWHu25Bk9gtPmmbqVXkZLzFPBEjF6L8aRygC4FDUDZldBNGYI3PbJa8zTGyupxrqJZbkwe5BPLL-ezMdoIY40IOmTH1eJzQxGTd7IzSabdpeezCO_xTKABfms3h8z8JSE-_E=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3MDPOBgAh2gYVsbh9Yha4Z-_3FJRz3BocUa0O43T74Wet6Myho4_tEQFh9T7KK_cAHIylUblDHmH6Bk9rt8myGSusJMQPtQ4fmWB986Mi6txa3azFfXgNdV9X3gTmuEfNC7fgIOdnOcwis=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn0JHDAfR_KD2KoJJ5fry_QUSTo4HAESG61Js-53HVMtA_gVkQ4oSafQUapaQxdAIWxPVnhLCfw0ei3_7yzSH2Fk-AI4QxC7bWgtRCm5as6NZXziZ8tM4NPJ4vEuXRMexyoyHL7-l2O240Pb=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2UnctemoTeB4b-icCYJikfJ_u5btVptEPIagrG09I3sjHhPDUUjrn5xkWqGQxOKr1aYVlFfQINb7HGXjnOmkpWLo2YuhzE3jXR4zUwCSxm7EHANuLr_KftJOSivbMLITSQgd57oS2Ms-k=s196-p-k-rw","https://www.google.com/maps/contrib/113970811218552651336/reviews?hl=zh-Hant-TW"
"Leia Chen","1 週前","5","1.餐點大致上都好吃，但是如果炸物跟麵體可以是熱的就更好，滷味是熱的很棒，感覺是因為等滷味一起上餐所以其他東西才會冷掉。2.上菜速度偏慢，感覺用餐時間只有70分鐘，等上菜時間就差不多30分鐘，吃了30分鐘服務員就說用餐時間只剩5-10分鐘。3.油蔥麵很好吃（雖然冷掉了，但味道還是很棒）、炸翅刀的佐醬也很好吃、滷味的醬汁很讚（菜也煮得剛剛好） ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn37Ne9G5D3UtT-PSzFmAYY_Ggp7yvyy6tys3S1iQni3QvISckaktUoE1LriNwuABnfOA7gIj8lp28YLaxHYlQrr7IMz9u0B8G-qY-YUfEVXZMOiyGOzg2qNFE0RCpffONnDS8A03xy44ahk=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3ubk1-B-wKcWXvjBrc1X3RPC90RoheMoiXjdwMuIMONsUypzYbZjfjwa-wSQo3j2WjsVmkAM-EqguVQCVaTn50LH8d4u-NC8ONjTOnyDSgTiqBT9WiJXHCylnBO-8_O9cXa6jlye2ljDyE=s196-p-k-rw","https://www.google.com/maps/contrib/111122873958081950559/reviews?hl=zh-Hant-TW"
"艸部祭","1 週前","5","被滷味耽誤的飲料店，炸物跟麵也很好吃✨訂單類型： ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn3FPlTz5zQhq7OlZxcHGAuo3A7ms9owN36zamWCOBeey_KyjAQK5bQZM392jI-XA6KxXyFYAckxqpWAEFkOouKgLez9n3LERJJ21fRp9CBVKAWu7p1SFyj63QC0tkJUQXXkLh7kimkUPNnH=s196-p-k-rw","https://www.google.com/maps/contrib/106407029280833717135/reviews?hl=zh-Hant-TW"
"Ben Chen","1 週前","5","主要是賣滷味像鴨肝一顆15鴨胗一顆25 ⋯⋯","","https://www.google.com/maps/contrib/101212119670921385869/reviews?hl=zh-Hant-TW"
"李宜靜","2 週前","4","等待時間超長（大約1小時梅醬翅刀好吃 ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn3Ro1fvwQ2dv8-bhnSUEbo34jskIqDWvTBa5ncPdcCTcL9t7NXpUR_AFn_6ZWJBvZ1Jz2Ua2oijYMe8PTVYHQEmk6YqCKob4pbSYchtYKVgj8MGaXzM7B_dbTmfYTM4dcTFhGO71SgXJh4j=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3ZXghdRkrDQ9PyflYmUT-ErBZOwLhF87LywMNvT7KClpupVJl6VBDsqnd3sZI3EcF_ClXJ3j9NzvKQG0u_XpcR2Ck7gAlw92RwcAHtjYA39xhc7Mskjki9jqv_1DB2LWUi9j9r7PYH0yo=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2aTMTa28ArnayJ2v7upbQuJJdh2KlWhnh9FxcLdvip7ejFjxSUdnlR-0SIldxGqpMsRALDZMvw5-UFrATiiST2uUAyt8d380RIi-KR6DJZzu1uNURmMhjt0yDfNz7baEWmpgDcePm5s_E=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn1pPbVMLqkYbjRehB9Us0g48Gvahsmi6xZt02MFC5W7_gY4nPuYeoRpFlYftda3pG7-Ea4avHu2A3fm4OrMrePrWqfraRgyaYJQMbJazGouPz_BElrqo49o5IZC9htjskdUpMeuMwWVlUE=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn0c5kfymKWTbEIe19TMNCmVlPgQKZKcG-TkffuLeHIOMVx2tCm1RcUaM9zfUlMJUTtID3zUvgf56RFoyNtXYLwEWJ-109C7w0ZG_KEDSDz54rhQXmBlaGCdJX91gVJa4IFJrFRD-pW02yU=s196-p-k-rw","https://www.google.com/maps/contrib/100508979891488526869/reviews?hl=zh-Hant-TW"
"王爫_盡量評論有菜單","3 週前","4","非常多人排的滷味店,內用需要排隊，外帶可以直接進去全種類的蔬菜都是秤重，所以都是一樣的價格其他肉類或是火鍋料之類的，價格稍高一點 ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn2tid-PPAiLyLrrYHcfe52Amc5EPCMK8QASLNnT11P2DWiL1EEyvEdB9HJtpifQB0A8aDAhZYrwTVzceuYF6-AaYiLlp91EjOU0YqgejR5xDTmQOxvKlWiwT45dyaGMVFui6ckBEVSz0cWJ=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn0CWXQ91buJHwqEchsYrESkOoJ0X7RnpErfZfVYq9HRgggrsZ7I_kmnY07P9X9XiZ9eD5HDdYjlJb2oflmO5uVo3Rm5EBNMLEEEruIxdh_67JxE6Jdc8mu_En2Xpuw0hBPZPcBrQDrhTNnr=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2XTcbumFQuDzTTMhtsxtu-ElbHRSNC3uIK3jikZyap1_T2y3LRoDRzyqZ6dHppljdq8z-mYVPXeymAQrdfl5gXd_0jPLjSb6qfyfJbEnjQOz0VaOyCrPEpPtnEQM4iPG0hRoSULMJDfAY=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2M7Fi_tnXTfkEmmPnnKDPLLHvKZdnAdFnBP82EO1g5eDxsAoIRUM7kHmW9eY02cgS4ODL_hjb8uzPEAhmF8UpHlQLNVu7VNXzSjoGVNTMc2rLAdvZgERmE9tJr1eclxx4shTdnCsnjCe6O=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn0iKWE0kqaUP44qn6d7Ju7WL6e-9A4cjpA-zPsentdRmvFzB6RTdwX8ZCtISrHNFzdTTdzQl8F7ULDGm-ASKs1kLvChoYRpe2twEp2A9SIXRUULL1yDrThVP-H4RLJwUri1xGItNgpBElH5=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn02i8D4OjryCCAwS_gP2mWuPOYyGg_heFEk4RkgX1EPdzpGld7wt2un9xsouph7qUM66YVqGuX74X24UqFdmNoqvSkX0LKLst0rLVEe31jxbkxo_KyqbdJWMnTSCnczIV_mOG0IdOLWRjNt=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2zRyTZhNXXL4PCk_fV8UudTDJSPuY7U0b9ugeiRCSv3mEu_aa63BEdAudIa7EEGBQF4lxY3SC8zeM33kgKxmIZ0xZTq4TJAEzY-3hCsXNNOiL69QQZFWNBiJa4Kx3SjBCAZGHI1JMT7RK_=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2fOs-4f0WR_QjRjM4FnYz7wZMF1fOypHKo7PH2ZHZNp54s2Mdtllqy9pkyEi2jzV7v_szA_LdwDdeNWB1WPcbZ4ZunVuVUcUCojDS9gety6n6o13gdcXp7QC5L0NIEm28vZRIcOhrKqQI=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3vWNdJelfUH4JpPKd7lT3v75eanuojmr7a-ZVxw4wLt4caHsO-JHH5_lS2TdPtkbrDbedO-Co0gz0pcIUndNXWNrvEWA7pMFJd80qlbmwTMQoOXa3l7SqcZnDCH71lzv7k-lfZH6Il5n9j=s196-p-k-rw","https://www.google.com/maps/contrib/114211160925783902181/reviews?hl=zh-Hant-TW"
"陳品妤","3 週前","1","誠心建議夾子回收籃可以設置在結帳前的位置，本人可能太無知不知道夾子在結帳前要先放回身後櫃子上的回收籃並在店員提醒第一次的時候錯認為是在告知前一位客人且沒有意識到在跟我講話，導致店員第二次的大聲提醒，但真的可以不用這麼大聲啦嚇到我也嚇到其他客人了哈哈😍一顆星給食物蒜味很喜！","https://lh3.googleusercontent.com/grass-cs/ANxoTn0IYZLBUVKJQYghiphNCwNolgRDSCkNI0VOhLC5VJBeEoJs9nGjHPgDG1o3ZAIOCH72nEYXkS6rUpC-eOkgO0XGicNebaFeLuRGm6wKeFkxkRzkjS47a0oWil3mk3R2PN0V8BkfpqdBiGkN=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3UfPcuIwo4QET0bDRIP8FTI13gR97fsA95heiMJE0zNE6El0TnlNdhAgiM4fDEt3l20O_Z5k22UmtqVRb83DkI6s0MegcXhlLTHEch6Fe99JpmLQ8PzWujbejwxvjOtSPe6bopHzAG4nw=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn0hMI833GmPDWHu25Bk9gtPmmbqVXkZLzFPBEjF6L8aRygC4FDUDZldBNGYI3PbJa8zTGyupxrqJZbkwe5BPLL-ezMdoIY40IOmTH1eJzQxGTd7IzSabdpeezCO_xTKABfms3h8z8JSE-_E=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3MDPOBgAh2gYVsbh9Yha4Z-_3FJRz3BocUa0O43T74Wet6Myho4_tEQFh9T7KK_cAHIylUblDHmH6Bk9rt8myGSusJMQPtQ4fmWB986Mi6txa3azFfXgNdV9X3gTmuEfNC7fgIOdnOcwis=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn0JHDAfR_KD2KoJJ5fry_QUSTo4HAESG61Js-53HVMtA_gVkQ4oSafQUapaQxdAIWxPVnhLCfw0ei3_7yzSH2Fk-AI4QxC7bWgtRCm5as6NZXziZ8tM4NPJ4vEuXRMexyoyHL7-l2O240Pb=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2UnctemoTeB4b-icCYJikfJ_u5btVptEPIagrG09I3sjHhPDUUjrn5xkWqGQxOKr1aYVlFfQINb7HGXjnOmkpWLo2YuhzE3jXR4zUwCSxm7EHANuLr_KftJOSivbMLITSQgd57oS2Ms-k=s196-p-k-rw","https://www.google.com/maps/contrib/103022926811718071693/reviews?hl=zh-Hant-TW"
"Kiki","3 週前","5","此生第一次愛的炸雞 梅醬炸雞超級好吃救命滷味的青菜也都好好吃","","https://www.google.com/maps/contrib/108542798352225748567/reviews?hl=zh-Hant-TW"
"uu Fu","3 週前","1","","","https://www.google.com/maps/contrib/107145285883351705031/reviews?hl=zh-Hant-TW"
"Jimmy","3 週前","5","餐點：服務： ⋯⋯","","https://www.google.com/maps/contrib/103441837159833195635/reviews?hl=zh-Hant-TW"
"黃佐甯","3 週前","4","以滷味來講沒有很貴但加上飲料就會蠻貴的特別麵蠻好吃的 ⋯⋯","","https://www.google.com/maps/contrib/114618015910821818088/reviews?hl=zh-Hant-TW"
"林君翰","3 週前","5","滷味蠻好吃的 油蔥香拌麵鹹香鹹香 飲料波霸給很多 整體來說還不錯訂單類型： ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn1aS-WRTpjT1IvhKUXkxhjNA1XeP-UmLWGC6UgV4SOwQ1ugjZc2G82_sJ0y5jshXGDg8w9a4dRhzMezV4Gu5808dj2JUthq6vfaC70501eTFYqdCOzRbkZVSrxsN7vuKjA7Aq4lvMkKzI0w=s196-p-k-rw","https://www.google.com/maps/contrib/114306867247150813056/reviews?hl=zh-Hant-TW"
"R3","1 個月前","1","喜歡等待的人可以到訪客人很多內用需要等待叫號才能進去點餐 ⋯⋯","","https://www.google.com/maps/contrib/103616998035469163165/reviews?hl=zh-Hant-TW"
"冰淇淋","1 個月前","1","貴死了！餐點： ⋯⋯","","https://www.google.com/maps/contrib/110736209655929702387/reviews?hl=zh-Hant-TW"
"Show","1 個月前","4","滷味口味我喜歡麻醬麵、潑辣麵也好吃配的辣椒很好吃一定要挖一碗✨😋 ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn2zJPpuc1idzSjTtZk7jBkmjn9-c4UHnDTYsUC-9OEa3yEx3lzqMrhnQ32y41zpYNC6Mov6iObvBkDuq_5k6UKjbuimYE8Ajz0alLMfyP4C06FiHN_bbBRoqoHUhXyLfajaEuO_X04c4DVY=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn0BI-alO7BRUlW39wb3gcMyM8wf0p0I41YSXLyKnPXquf2kMsKo_x8RcMlvMYeya0lVXGmpbA_j3Qyh1DjrClvhm99xe1bum1Q5r48Pa1_hetyFRO_0SFE0G7eftISH-Ll-k0vQC-n-_S_H=s196-p-k-rw","https://www.google.com/maps/contrib/117451840604973183509/reviews?hl=zh-Hant-TW"
"Shan Yu","1 個月前","4","好ㄘ餐點： ⋯⋯","","https://www.google.com/maps/contrib/112123115525546136469/reviews?hl=zh-Hant-TW"
"Thomas 湯瑪斯 (湯瑪大挑戰)","1 個月前","1","生平第一次排位子超過一小時。不是吃什麼高級料理，還只是個滷味攤。 ⋯⋯","","https://www.google.com/maps/contrib/118343085880846479041/reviews?hl=zh-Hant-TW"
"吉良廣","1 個月前","1","你明明可以直接拿走我的99塊卻要送我一盤醋遛肉 ⋯⋯","","https://www.google.com/maps/contrib/113194244696885364718/reviews?hl=zh-Hant-TW"
"Tomato","1 個月前","5","東西好吃 老闆又很帥","","https://www.google.com/maps/contrib/118412660426760866308/reviews?hl=zh-Hant-TW"
"Roger","1 個月前","1","請各位不要點什麼破爛醋溜肉 這一小盤賣99塊不如去小上海爆吃一頓餐點： ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn3ozvwh5cFUiX1XvhMKb8gKAwxszGAFbgJ8HJjrjILvd8ufwpjOEt6opYePg4igj74A6Lb54oqgMG40R37R-_oPq134q3fpaFYroGECRkvFZ7KvFYSOdMfIzu_5Kdyd_O-wr4CAmwpozxZ1=s196-p-k-rw","https://www.google.com/maps/contrib/104794136681517815170/reviews?hl=zh-Hant-TW"
"Jason Chang","1 個月前","5","沒有訂位喔，裡面位子蠻多的現場應該都有位子，店員推薦的黃金炸翅刀果然好吃，魯味平價，波霸奶茶微糖就很甜了，辣椒醬果然夠辣真爽訂單類型： ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn3LGC8_7iHcz7m8og3gEdrz_IXKiCWjDuP96vL7pFUgk00UkyiB0TabY6quCm0UjNkIvnnGxNAYV_FUdTRgeneFhfEWWt6CjF3J-pgYwr77kOref1u7jxre5Y0DuczrxksJ69Lxmxq9W1I=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn13RhSCy0VeDCUM5r_WJY0cCE_VFEzWvYt07dI21L8OdIFARvtOAfSylhpITwR10dWg7cURmoVwuFkvgIA0knLEfhV-BdVzw1gujqGY_R4TlQRZe3koUIz01DVXbSuw2Hp_YHICB-Auypxs=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn1FYU1CMSADs_8E03H1LG2aFHASFmbLsThyCakNxxNvx-jAew_34ONhtYrYhS_urTUOLocQIOWiQxBgORPB4uQaMv1bYlk5njPRQA3jvR2NwIse2ccQeMlOLlhT8VXKz5ZXzAqk80Cf6A0L=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn291Kfo2hV4_kXlKEAbfrnvkRIsZhxWWOdrazD16b3VrdFfsZvXUuqRBKpv5fKiRKvOZgK0koYrCufGl8AKNn1HHHOj30oPMiUn9s3Ua0PgZrVanhzgdsdv76eYPLidq9E6TkxY5pM-yovZ=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn0vDEbugP7Sv59mKDFClYCxI1_vKKJJFIqmDYDy_c9PrTbmYJ5txfzlzRe2vFUeQMrQyqtgw95pMt0UGj2Z09kF6AL8vyN-H6qO7sH6PMSTtAPaWEbZNl0xHipUHLcnnIRqrEdNjBfwoKs=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn34amLEQU2sqTvDTjoX_mxwMrqE4QpHyjRsWP6_QgN2_FTJEuZ7xoQbzzmAhvNSX9nHQPUW6jw3fKzO56NZ2Q0kDAY_UGcFHGXfIIoURfhvPpH3UKuwXjygkDPsO5V-AAd9GqsdsG4SkvU=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn1FKJKpS-ggDNoXuv_AUIaBuUHq6F2trj2-8ezEcVhGXzb_ob2USsolglotcY62mZEqOe6qF6coywpg6fsawX1k__qD1sBlU85vADkwrCFL1riJXrth0ioXpLwlC7Oo9nj0YrIDsgMRxMB6=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2BtBFBJUELji8kLmdN6GGWUsCSGvIH-9D6yyB_nBO7mya_scQPuiyrSKeDaMccIVt80cwalnXx8t2CWdVKFhh3ohADdMjKgxj2BePz64eZKMbClAWafvhq9zwAs3WmOS2zRHnOhtj5WA8=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2Br0fibK5vYbjY3AekESL3V8WcYvvoOuF04HPomd_WGqtCtnz2dlRHYCd4pFuqeC66RotzldARc_sNepbKhyOD8sCBo8gOieJtFvamHBF23pOjFWdjyhiS0inUaaDqLtuQmxJy-vfHWVAj=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn1mnNzpkfsWtDRzzXszMaV8Ejhx2Xh_5pMWrO7Aoc8O8atIwhBiLISnK0pCj4NgJlFeqPjdDI8GwE3PnxQpNayJD-puWwG3m9J4W5wbh5iKRHCVPlQw46xQA8XzXTx4bw6g8CHNHRiwmL6D=s196-p-k-rw","https://www.google.com/maps/contrib/106820535393389017590/reviews?hl=zh-Hant-TW"
"陳劭威","1 個月前","5","","","https://www.google.com/maps/contrib/102509253384668068454/reviews?hl=zh-Hant-TW"
"Hsieh08 Hsieh","1 個月前","4","結帳流程繁瑣擁擠，食物還行訂單類型： ⋯⋯","","https://www.google.com/maps/contrib/100819756785394477573/reviews?hl=zh-Hant-TW"
"C54121169吳秉諺","1 個月前","5","不小心給店員添麻煩，謝謝店員耐心的幫忙處理。訂單類型： ⋯⋯","","https://www.google.com/maps/contrib/113059646366737486013/reviews?hl=zh-Hant-TW"
"YuShan Zhang","1 個月前","5","","","https://www.google.com/maps/contrib/106090055644833684465/reviews?hl=zh-Hant-TW"
"陌尋","1 個月前","5","訂單類型：餐點類型： ⋯⋯","","https://www.google.com/maps/contrib/107415314093890834856/reviews?hl=zh-Hant-TW"
"Emily Chen","1 個月前","4","餐點：服務： ⋯⋯","","https://www.google.com/maps/contrib/114011411735570779783/reviews?hl=zh-Hant-TW"
"Ching hsuan","1 個月前","5","飲料很大杯冷氣也很強 ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn3lP9e5BRU-E7iD6bojtHqEBzfcPHcSEl2bG3sp-pgyrQ-xDkupvnNl6aDzevSJWNK3ZX_iaxOhfIzGJG32BpfMhS1ZYrJFisQ-JSHi67QNC93zueDAA6UMUtpEIQC4h25Wxm3dIAi40oit=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2LZQWzTo7wr5H95DPbUK3vEZ4ClGeNVssSDhWgSKmHAdW6v4PaMVJKMtx8ktt9E-yc6X_zyyLStlPwYDsaRpePHTqjhBkV_34kXZXtCY5AwPIeAnU7EguZbUWgjyLb-_-khlHB_Udptvd2=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn1vS7Z5XSKpZB6LdZcRyNsa3lHF2haqj4T6ZJxYPIjfGQgmw_xLVAfhqofdfO2G7m6SdhsSeKi3m1Wr-TZ0zH-WHj9yk4rPxPjdmPliydoEL4TiOSqNA5GEdPCJ4h4Tph9AuUI3yb6as-g=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2PV2GwIy8g5RrZ6SIAdcnTjFXSCorIwTjPLxgS6oGSxsC_SZbNTTaAhulyJfJlrYQrAMRYKGpFF1TkHYrGN-m8quPsmyfXPxTZj3w_ir7NEZQ9k53N2dU3YOvr7V6G89DugrL0R0fbYtI=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn1vHaECFoERM8ODt95_uxY-QE71-3yCkCUa9YeG2jNI5OghCyXOrKPnqceWxtBy0JxDrzYcJ98rvWLabAg3p5wktXLtpIkHpNKx4y_Hrtqh3rYHagLMJhmw_bQMRmhoKEAAknNO3yFOl5dL=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2cEYW1ooG6iSmLwYUSuGGV8PPOQPBOdJvAhm4wgbUOzAMk25VPECwSjxg6VPug9_BUb-J-1wQMNeddqykZvXZpvv78r-cQX2PNrhywRsnT0GcUsy_4UboHXNwNyBPGaL8KH-TLp6UBVNUh=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2DI3uKwhMibeW05F5wDe10gsibpv_jj9OCUTzMff5PAQIzF72G1uHRz1OhOVys5JjO6ye-37ZXvyOX71c1Kw2pHn5b23KWb0DltqQ6XaDK6BqJBOclTUbR-oQMxnmgP3k76kWZpiG3YsZg=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn34lC3ABbnu2Nrq1aH2StOmQj9Ja_sBcABUUs8_Zs0CJRhvXFWt1nUODJxjGvRzvoCmIqtjPMzIY-an0GXHMJeBXU4FE6gLp1o82sNU3X8mfCF0Iqgnk8SPLIitWz0UPvNVwgmWZRo-onR7=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3l8ix8gW1FeFIq-r_LMO4MntPvhHx3vdu8RCJzo1zUV5Mei7GyeKE0cUqhfF2PzWTRRgiUFHlv8BIvngvM8NDu6EX6PDahLKnl8e6hDIMjMpIWA0AzLDc2jI8rLcrNgGbJllPz5ZnAu2Y=s196-p-k-rw","https://www.google.com/maps/contrib/102153025138814708675/reviews?hl=zh-Hant-TW"
